machine_id,timestamp,variable,value
PUMP-1001,2026-04-01T00:00:00,vibration_mm_s,3.65
PUMP-1001,2026-04-01T00:00:00,temperature_c,71.69
PUMP-1001,2026-04-01T00:00:00,current_a,10.91
PUMP-1001,2026-04-01T00:00:00,pressure_bar,2.97
PUMP-1001,2026-04-01T00:00:00,load_pct,74.67
PUMP-1002,2026-04-01T00:00:00,vibration_mm_s,3.7
PUMP-1002,2026-04-01T00:00:00,temperature_c,64.83
PUMP-1002,2026-04-01T00:00:00,current_a,11.3
PUMP-1002,2026-04-01T00:00:00,pressure_bar,2.97
PUMP-1002,2026-04-01T00:00:00,load_pct,70.5
PUMP-1003,2026-04-01T00:00:00,vibration_mm_s,3.03
PUMP-1003,2026-04-01T00:00:00,temperature_c,69.02
PUMP-1003,2026-04-01T00:00:00,current_a,11.99
PUMP-1003,2026-04-01T00:00:00,pressure_bar,3.04
PUMP-1003,2026-04-01T00:00:00,load_pct,76.61
PUMP-1004,2026-04-01T00:00:00,vibration_mm_s,3.73
PUMP-1004,2026-04-01T00:00:00,temperature_c,67.97
PUMP-1004,2026-04-01T00:00:00,current_a,10.7
PUMP-1004,2026-04-01T00:00:00,pressure_bar,2.81
PUMP-1004,2026-04-01T00:00:00,load_pct,77.71
PUMP-1005,2026-04-01T00:00:00,vibration_mm_s,3.5
PUMP-1005,2026-04-01T00:00:00,temperature_c,67.81
PUMP-1005,2026-04-01T00:00:00,current_a,11.05
PUMP-1005,2026-04-01T00:00:00,pressure_bar,3.16
PUMP-1005,2026-04-01T00:00:00,load_pct,73.8
PUMP-1006,2026-04-01T00:00:00,vibration_mm_s,3.36
PUMP-1006,2026-04-01T00:00:00,temperature_c,69.1
PUMP-1006,2026-04-01T00:00:00,current_a,10.96
PUMP-1006,2026-04-01T00:00:00,pressure_bar,3.14
PUMP-1006,2026-04-01T00:00:00,load_pct,77.96
PUMP-1007,2026-04-01T00:00:00,vibration_mm_s,3.5
PUMP-1007,2026-04-01T00:00:00,temperature_c,68.04
PUMP-1007,2026-04-01T00:00:00,current_a,11.57
PUMP-1007,2026-04-01T00:00:00,pressure_bar,2.87
PUMP-1007,2026-04-01T00:00:00,load_pct,77.01
PUMP-1008,2026-04-01T00:00:00,vibration_mm_s,3.78
PUMP-1008,2026-04-01T00:00:00,temperature_c,67.28
PUMP-1008,2026-04-01T00:00:00,current_a,10.57
PUMP-1008,2026-04-01T00:00:00,pressure_bar,3.14
PUMP-1008,2026-04-01T00:00:00,load_pct,79.63
PUMP-1009,2026-04-01T00:00:00,vibration_mm_s,3.85
PUMP-1009,2026-04-01T00:00:00,temperature_c,65.03
PUMP-1009,2026-04-01T00:00:00,current_a,10.77
PUMP-1009,2026-04-01T00:00:00,pressure_bar,3.18
PUMP-1009,2026-04-01T00:00:00,load_pct,73.85
PUMP-1010,2026-04-01T00:00:00,vibration_mm_s,3.88
PUMP-1010,2026-04-01T00:00:00,temperature_c,65.82
PUMP-1010,2026-04-01T00:00:00,current_a,10.93
PUMP-1010,2026-04-01T00:00:00,pressure_bar,2.98
PUMP-1010,2026-04-01T00:00:00,load_pct,72.3
PUMP-1001,2026-04-01T06:00:00,vibration_mm_s,3.73
PUMP-1001,2026-04-01T06:00:00,temperature_c,70.76
PUMP-1001,2026-04-01T06:00:00,current_a,10.54
PUMP-1001,2026-04-01T06:00:00,pressure_bar,2.8
PUMP-1001,2026-04-01T06:00:00,load_pct,74.89
PUMP-1002,2026-04-01T06:00:00,vibration_mm_s,3.74
PUMP-1002,2026-04-01T06:00:00,temperature_c,68.42
PUMP-1002,2026-04-01T06:00:00,current_a,11.24
PUMP-1002,2026-04-01T06:00:00,pressure_bar,3.05
PUMP-1002,2026-04-01T06:00:00,load_pct,75.94
PUMP-1003,2026-04-01T06:00:00,vibration_mm_s,3.06
PUMP-1003,2026-04-01T06:00:00,temperature_c,68.21
PUMP-1003,2026-04-01T06:00:00,current_a,11.92
PUMP-1003,2026-04-01T06:00:00,pressure_bar,3.01
PUMP-1003,2026-04-01T06:00:00,load_pct,78.2
PUMP-1004,2026-04-01T06:00:00,vibration_mm_s,3.56
PUMP-1004,2026-04-01T06:00:00,temperature_c,68.86
PUMP-1004,2026-04-01T06:00:00,current_a,11.54
PUMP-1004,2026-04-01T06:00:00,pressure_bar,3.07
PUMP-1004,2026-04-01T06:00:00,load_pct,80.85
PUMP-1005,2026-04-01T06:00:00,vibration_mm_s,3.2
PUMP-1005,2026-04-01T06:00:00,temperature_c,69.92
PUMP-1005,2026-04-01T06:00:00,current_a,11.34
PUMP-1005,2026-04-01T06:00:00,pressure_bar,3.09
PUMP-1005,2026-04-01T06:00:00,load_pct,80.46
PUMP-1006,2026-04-01T06:00:00,vibration_mm_s,3.5
PUMP-1006,2026-04-01T06:00:00,temperature_c,71.86
PUMP-1006,2026-04-01T06:00:00,current_a,10.71
PUMP-1006,2026-04-01T06:00:00,pressure_bar,3.25
PUMP-1006,2026-04-01T06:00:00,load_pct,76.38
PUMP-1007,2026-04-01T06:00:00,vibration_mm_s,3.71
PUMP-1007,2026-04-01T06:00:00,temperature_c,68.6
PUMP-1007,2026-04-01T06:00:00,current_a,11.05
PUMP-1007,2026-04-01T06:00:00,pressure_bar,3.07
PUMP-1007,2026-04-01T06:00:00,load_pct,80.08
PUMP-1008,2026-04-01T06:00:00,vibration_mm_s,3.55
PUMP-1008,2026-04-01T06:00:00,temperature_c,69.07
PUMP-1008,2026-04-01T06:00:00,current_a,11.04
PUMP-1008,2026-04-01T06:00:00,pressure_bar,3.32
PUMP-1008,2026-04-01T06:00:00,load_pct,78.86
